Sample,Model,Genotype ,Age
SRR8512301,rtg4510,WT_TG,eight
SRR8512302,rtg4510,rtg4510,eight
SRR8512303,rtg4510,WT_TG,two
SRR8512304,rtg4510,rtg4510,two
SRR8512307,rtg4510,WT_TG,eight
SRR8512308,rtg4510,rtg4510,eight
SRR8512309,rtg4510,WT_TG,two
SRR8512310,rtg4510,rtg4510,two
SRR8512313,rtg4510,rtg4510,two
SRR8512318,rtg4510,WT_TG,eight
SRR8512319,rtg4510,rtg4510,eight
SRR8512324,rtg4510,WT_TG,eight
SRR8512325,rtg4510,WT_TG,two
SRR8512326,rtg4510,rtg4510,two
SRR8512329,rtg4510,WT_TG,eight
SRR8512330,rtg4510,rtg4510,eight
SRR8512331,rtg4510,WT_TG,two
SRR8512332,rtg4510,rtg4510,two
SRR8512335,rtg4510,WT_TG,two
SRR8512336,rtg4510,rtg4510,two
SRR8512341,rtg4510,WT_TG,eight
SRR8512342,rtg4510,rtg4510,eight
SRR8512347,rtg4510,WT_TG,eight
SRR8512348,rtg4510,rtg4510,eight
SRR8512349,rtg4510,WT_TG,two
SRR8512350,rtg4510,rtg4510,two
SRR8512351,J20,WT,six
SRR8512352,J20,WT,six
SRR8512353,J20,J20,six
SRR8512354,J20,J20,six
SRR8512363,J20,WT,twelve
SRR8512364,J20,WT,twelve
SRR8512365,J20,J20,twelve
SRR8512366,J20,J20,twelve
SRR8512371,J20,WT,twelve
SRR8512372,J20,WT,twelve
SRR8512373,J20,J20,twelve
SRR8512374,J20,J20,twelve
SRR8512375,J20,WT,six
SRR8512376,J20,J20,six
SRR8512379,J20,WT,twelve
SRR8512380,J20,J20,twelve
SRR8512381,J20,WT,six
SRR8512382,J20,J20,six
SRR8512384,J20,WT,twelve
SRR8512385,J20,J20,twelve
SRR8512386,J20,WT,six
SRR8512387,J20,J20,six
SRR8512389,J20,WT,six
SRR8512390,J20,J20,six
SRR8512399,J20,WT,twelve
SRR8512400,J20,J20,twelve
SRR8512401,J20,WT,six
SRR8512402,J20,J20,six
SRR8512405,J20,WT,twelve
SRR8512406,J20,J20,twelve
SRR8512407,J20,WT,six
SRR8512408,J20,J20,six
SRR8512411,J20,WT,twelve
SRR8512412,J20,J20,twelve
SRR8512426,J20,WT,twelve
SRR8512427,J20,WT,twelve
SRR8512428,J20,J20,twelve
SRR8512429,J20,J20,twelve
SRR8512430,J20,WT,six
SRR8512431,J20,WT,six
SRR8512432,J20,J20,six
SRR8512433,J20,J20,six
SRR8512434,rtg4510,WT_TG,two
SRR8512435,rtg4510,rtg4510,two
SRR8512439,rtg4510,WT_TG,eight
SRR8512440,rtg4510,rtg4510,eight